Launch Date,Status,Active/Fatigued,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
,Loser,,VHK11_TruckInsured | VB1_NoBody | VV4_SideTruckAnimationV2White,$135.48,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$135.48,2.10%,1.45%,$109.43,"1,238",26,18,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK12_ProtectedTruck | VB1_NoBody | VV4_SideTruckAnimationV2White,$331.98,1,$331.98,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$331.98,1.79%,1.33%,$94.21,"3,524",63,47,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK13_TruckonTime | VB1_NoBody | VV4_SideTruckAnimationV2White,$463.50,5,$92.70,4,$115.88,1,$463.50,0,#DIV/0!,1,$463.50,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$463.50,1.79%,1.45%,$131.64,"3,521",63,51,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK14_StressFreeMove | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK15_NeedHolidayMove | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK16_EnjoyHolidayMove | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK17_LetusHandleStress | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK18_Moving-LetusHelp | VB1_NoBody | VV1_TruckAcrossUS,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK14_StressFreeMove | VB1_NoBody | VV5_TruckAcrossUSSantaHat,$120.65,7,$17.24,1,$120.65,6,$20.11,0,#DIV/0!,1,$120.65,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$120.65,4.53%,4.79%,$105.10,"1,148",52,55,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK15_NeedHolidayMove | VB1_NoBody | VV5_TruckAcrossUSSantaHat,$261.02,4,$65.26,3,$87.01,2,$130.51,2,$130.51,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$261.02,6.65%,6.61%,$109.17,"2,391",159,158,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK16_EnjoyHolidayMove | VB1_NoBody | VV5_TruckAcrossUSSantaHat,$224.05,9,$24.89,4,$56.01,5,$44.81,1,$224.05,2,$112.03,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$224.05,4.98%,4.89%,$98.79,"2,268",113,111,,,,,,,,,,,,,,,,,,,,,
