Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026,389.64,4.69,6,64.94,4,97.41,6,64.94,-,0,3,129.88,1,389.64,843.75,2.17,454.11,120243697019130350,120243697019070350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025,1248.88,2.21,44,28.38,41,30.46,2,624.44,2,624.44,-,0,1,1248.88,832,0.67,-416.88,120236865891520350,120236865891370350,1400488071021805
VAM Crew Members - Organic Looking 3 - CIDTPC5EN4 | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,1253.39,3.64,25,50.14,20,62.67,34,36.86,1,1253.39,3,417.80,2,626.70,800,0.64,-453.39,120244014031790350,120235716942630350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025,931.46,7.57,14,66.53,12,77.62,43,21.66,2,465.73,2,465.73,1,931.46,786.38,0.84,-145.08,120241170195700350,120235716942630350,1400488071021805
SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-11-2026,2655.47,0.81,24,110.64,20,132.77,37,71.77,19,139.76,11,241.41,1,2655.47,786.38,0.30,-1869.09,120243863684490350,120243863684480350,1400488071021805
VHK22_IThoughtCostMore | VB6_MovingOffBecauseCost | VV11_UGC_CostAngle2_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026,265.64,0.79,9,29.52,4,66.41,4,66.41,1,265.64,2,132.82,1,265.64,736.38,2.77,470.74,120243094261650350,120235716942630350,1400488071021805
SC22_LongDistance1597HolidayV1CTA2 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025,400.75,2.76,14,28.63,9,44.53,4,100.19,1,400.75,2,200.38,1,400.75,600,1.50,199.25,120240988242510350,120235716942630350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 12-14-2025,1181.83,6.42,17,69.52,12,98.49,13,90.91,4,295.46,-,0,1,1181.83,600,0.51,-581.83,120241170195700350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026,244.29,0.37,15,16.29,5,48.86,7,34.90,-,0,1,244.29,1,244.29,586.38,2.40,342.09,120244294202420350,120235716942630350,1400488071021805
VHK20_Ialmostdidn't | VB5_BiggestWorry | VV10_UGC_CostAngle1_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026,741.68,0.87,24,30.90,14,52.98,12,61.81,3,247.23,2,370.84,1,741.68,100,0.13,-641.68,120243094261650350,120235716942630350,1400488071021805
SC78_WhattoLookfor | SV30_EducationalLayout | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026,48.03,4,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-48.03,120243308988760350,120235716942630350,1400488071021805
