Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-11-2026,193.51,1.54,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-193.51,120243863684490350,120243863684480350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-15-2026,33.35,2.38,1,33.35,1,33.35,3,11.12,1,33.35,1,33.35,0,0,0,0,-33.35,120244005869920350,120244005869910350,1400488071021805
3BR Customer Relief - Offer Lead 6 - CIDJPMAQAP | CB7_MovingA2Bedroom | 02-23-2026,34.99,1.75,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-34.99,120244292141040350,120235716942630350,1400488071021805
Moving Cost Clarity - Offer Lead 10 - CIDIYMA396 | CB7_MovingA2Bedroom | 02-26-2026,166.66,6.41,3,55.55,3,55.55,2,83.33,-,0,1,166.66,0,0,0,0,-166.66,120244614680650350,120235716942630350,1400488071021805
Threat / Hot Alarm - Proclamation Lead 1 - CIDAYH2KTY | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,278.75,3.03,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-278.75,120244564948450350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK23_IWasAbout | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026,169.57,10.60,4,42.39,3,56.52,4,42.39,-,0,1,169.57,0,0,0,0,-169.57,120244621374850350,120244621144460350,1400488071021805
Stress Curve Callout - Problem-Solution Lead 3 - CIDVO6JSUC I | CB7_MovingA2Bedroom | 03-02-2026,88.33,6.31,1,88.33,1,88.33,0,0,-,0,-,0,0,0,0,0,-88.33,120244707207720350,120235716942630350,1400488071021805
VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026,392.44,4,4,98.11,4,98.11,0,0,-,0,-,0,0,0,0,0,-392.44,120244621374660350,120244621144460350,1400488071021805
Stress Curve Callout - Offer Lead - CIDYPA54RI | CB7_MovingA2Bedroom | 03-02-2026,92.89,2.51,1,92.89,1,92.89,1,92.89,1,92.89,-,0,0,0,0,0,-92.89,120244707207720350,120235716942630350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB1_Savings | 09-22-2025,122.25,5.82,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-122.25,120236168195450350,120236168195430350,1400488071021805
Calm Confidence - Promise Lead 5 - CID7TW5YZH | CHK1_SaveUpTo50 | CB1_Savings | 02-26-2026,232.53,2.80,1,232.53,1,232.53,0,0,-,0,-,0,0,0,0,0,-232.53,120244614462560350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 3 - CIDOQ2J5NF | CB7_MovingA2Bedroom | 02-23-2026,41.04,2.28,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-41.04,120244295994450350,120244295994470350,1400488071021805
VHK24_IThoughtMyMove | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026,850.85,1.35,14,60.78,10,85.09,9,94.54,-,0,1,850.85,0,0,0,0,-850.85,120243092394970350,120235716942630350,1400488071021805
SC37_ArrivedFlawlessV2 | SV19_HoldingSignFamily | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,12.39,6.20,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-12.39,120242669388090350,120235716942630350,1400488071021805
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-15-2026,64.24,6.42,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-64.24,120244005869950350,120244005869910350,1400488071021805
SC13_SavedMe _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025,319.13,2.88,4,79.78,3,106.38,0,0,-,0,-,0,0,0,0,0,-319.13,120237331144400350,120235716942630350,1400488071021805
SC109_SmilingCrew | SV34_CrewMembers | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,6.14,3.07,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-6.14,120244014031790350,120235716942630350,1400488071021805
Moving Cost Clarity - Offer Lead 2 - CIDI9HB0RK | CB7_MovingA2Bedroom | 02-25-2026,791.29,7.07,13,60.87,13,60.87,12,65.94,-,0,3,263.76,0,0,0,0,-791.29,120244564976090350,120235716942630350,1400488071021805
Stress Curve Callout - Problem-Solution Lead 1 - CIDQ3CKPSK | CB7_MovingA2Bedroom | 03-02-2026,70.59,2.94,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-70.59,120244707207720350,120235716942630350,1400488071021805
3BR Cross-Country Cost - Offer Lead 1 - CIDXFH8QT1 | CB7_MovingA2Bedroom | 02-23-2026,27.24,3.41,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-27.24,120244295519780350,120244295519740350,1400488071021805
Belongings Protection - Story Lead 4 - CIDQWRV24F | CB7_MovingA2Bedroom | 03-02-2026,23.81,1.49,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-23.81,120244708675690350,120235716942630350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-30-2025,515.79,2.73,31,16.64,15,34.39,0,0,-,0,-,0,0,0,0,0,-515.79,120236564277920350,120235716942630350,1400488071021805
Belongings Protection - Story Lead 1 - CIDRRJ67W2 | CB7_MovingA2Bedroom | 03-02-2026,5.17,1.29,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-5.17,120244708675690350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 10 - CID9STT0TQ | CB7_MovingA2Bedroom | 02-23-2026,356.84,2.32,1,356.84,1,356.84,1,356.84,1,356.84,-,0,0,0,0,0,-356.84,120244295519780350,120244295519740350,1400488071021805
Belongings Protection - Story Lead 3 - CIDLUMZU8S | CB7_MovingA2Bedroom | 03-02-2026,148.68,2.01,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-148.68,120244708675690350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CB7_MovingA2Bedroom | 02-23-2026,66.53,0.43,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-66.53,120244294202420350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 5 - CIDC9YQMC0 | CB7_MovingA2Bedroom | 02-23-2026,10.65,2.66,1,10.65,1,10.65,3,3.55,-,0,1,10.65,0,0,0,0,-10.65,120244292141040350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 12-1-2025,608.58,6.27,6,101.43,5,121.72,1,608.58,-,0,1,608.58,0,0,0,0,-608.58,120239686804850350,120239686804860350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CHK21_PlanningAcross-country | CB9_3BR-POSITIONINGANGLE | 02-26-2026,26.94,0.40,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-26.94,120244621374650350,120244621144460350,1400488071021805
Belongings Protection - Story Lead 3 - CIDLUMZU8S | CB7_MovingA2Bedroom | 03-02-2026,96.50,1.19,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-96.50,120244708675690350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK12_BuiltForLarger | CB7_MovingA2Bedroom | 2-2-2026,28.44,5.69,1,28.44,1,28.44,0,0,-,0,-,0,0,0,0,0,-28.44,120243433638280350,120235716942630350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK3_StressFreeLongDistance | CB2_StressFree | 09-22-2025,657.01,2.08,12,54.75,9,73,4,164.25,2,328.51,2,328.51,0,0,0,0,-657.01,120236168195450350,120236168195430350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK16_KnowYourRealCosts | CB8_BeforeYouBook | 2-10-2026,33.15,33.15,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-33.15,120243805557650350,120243805557560350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK18_Moving | CB8_BeforeYouBook | 2-10-2026,507.20,11.03,4,126.80,3,169.07,2,253.60,-,0,-,0,0,0,0,0,-507.20,120243805557650350,120243805557560350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK16_KnowYourRealCosts | CB8_BeforeYouBook | 2-10-2026,124.48,2.96,1,124.48,1,124.48,0,0,-,0,-,0,0,0,0,0,-124.48,120243805557650350,120243805557560350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK15_FullServiceMoves | CB8_BeforeYouBook | 2-10-2026,349.66,11.66,6,58.28,2,174.83,1,349.66,-,0,-,0,0,0,0,0,-349.66,120243805557650350,120243805557560350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK12_BuiltForLarger | CB7_MovingA2Bedroom | 2-2-2026,230.83,1.83,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-230.83,120243433638280350,120235716942630350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK17_LongDistanceMoves | CB8_BeforeYouBook | 2-10-2026,158.81,3.18,2,79.41,2,79.41,0,0,-,0,-,0,0,0,0,0,-158.81,120243805557650350,120243805557560350,1400488071021805
Similar Customer Proof - Offer Lead 2 - CIDZEKBWGE | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,95.56,1.68,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-95.56,120244008392690350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 10 - CID0435EPI | CB7_MovingA2Bedroom | 02-23-2026,61.65,30.83,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-61.65,120244296367890350,120244296367860350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-04-2026,79.12,3.77,2,39.56,2,39.56,0,0,-,0,-,0,0,0,0,0,-79.12,120243579426010350,120243579426030350,1400488071021805
3BR Owner Stories - Offer Lead 7 - CIDND82MRP | CB7_MovingA2Bedroom | 02-23-2026,13.27,1.90,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-13.27,120244295526900350,120244295527190350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025,307.11,3.45,12,25.59,8,38.39,7,43.87,4,76.78,-,0,0,0,0,0,-307.11,120235723649620350,120235716942630350,1400488071021805
DCO | Top Ads + Copy | 1-18-2026,208.33,4.43,3,69.44,3,69.44,0,0,-,0,-,0,0,0,0,0,-208.33,120242932002270350,120242931820810350,1400488071021805
Similar Customer Proof - Offer Lead 7 - CIDWODX622 | CHK23_IWasAbout | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026,115.91,2.23,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-115.91,120244621374850350,120244621144460350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-18-2026,55.05,1.34,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-55.05,120244165896270350,120244165896280350,1400488071021805
Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026,9.52,9.52,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-9.52,120244295519780350,120244295519740350,1400488071021805
Done For You - Problem-Solution Lead 10 - CID0435EPI | CB7_MovingA2Bedroom | 02-23-2026,24.42,3.49,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-24.42,120244295519780350,120244295519740350,1400488071021805
Stress Curve Callout - Problem-Solution Lead 4 - CID06JAW02 | CB7_MovingA2Bedroom | 03-02-2026,46.92,7.82,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-46.92,120244707207720350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 7 - CIDA7W1DSK | CB7_MovingA2Bedroom | 02-23-2026,13.95,6.98,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-13.95,120244295994260350,120244295994470350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK18_Moving | CB8_BeforeYouBook | 2-2-2026,60.95,6.77,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-60.95,120243434016590350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 2 - CIDUX2WTW0 | CB7_MovingA2Bedroom | 02-23-2026,84.06,2.05,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-84.06,120244295519780350,120244295519740350,1400488071021805
3BR Customer Relief - Offer Lead 2 - CIDUX2WTW0 | CB7_MovingA2Bedroom | 02-23-2026,5.51,2.76,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-5.51,120244295994240350,120244295994470350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK17_LongDistanceMoves | CB8_BeforeYouBook | 2-10-2026,43.80,8.76,1,43.80,1,43.80,0,0,-,0,-,0,0,0,0,0,-43.80,120243805557650350,120243805557560350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK18_Moving | CB8_BeforeYouBook | 2-10-2026,669.12,3.64,9,74.35,9,74.35,4,167.28,3,223.04,1,669.12,0,0,0,0,-669.12,120243805557650350,120243805557560350,1400488071021805
SC1_LongDistance1597 | SV2_TruckSide2 | CHK4_WeGotYouCovered | CB2_StressFree | 2-4-2026,683.83,8.44,13,52.60,11,62.17,13,52.60,3,227.94,1,683.83,0,0,0,0,-683.83,120243579426010350,120243579426030350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 1-25-2026,46.58,3.58,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-46.58,120243177643490350,120243177643310350,1400488071021805
Threat / Hot Alarm - Proclamation Lead 3 - CIDCUXHK5L | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,131.65,2.23,1,131.65,1,131.65,1,131.65,1,131.65,1,131.65,0,0,0,0,-131.65,120244564948450350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 2 - CIDX8UU7FJ | CB7_MovingA2Bedroom | 02-23-2026,83.74,2.70,3,27.91,2,41.87,0,0,-,0,-,0,0,0,0,0,-83.74,120244288534710350,120235716942630350,1400488071021805
No Ghosting - Offer Lead 4 - CID3E4OGPT | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,138.32,1.43,1,138.32,1,138.32,1,138.32,1,138.32,-,0,0,0,0,0,-138.32,120244563569310350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK16_KnowYourRealCosts | CB8_BeforeYouBook | 2-2-2026,46.56,7.76,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-46.56,120243434016590350,120235716942630350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 1-25-2026,192.87,6.89,3,64.29,3,64.29,0,0,-,0,-,0,0,0,0,0,-192.87,120243177643490350,120243177643310350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK16_KnowYourRealCosts | CB8_BeforeYouBook | 2-2-2026,252.18,3.08,7,36.03,7,36.03,3,84.06,-,0,2,126.09,0,0,0,0,-252.18,120243434016590350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-4-2026,310.29,9.13,3,103.43,3,103.43,1,310.29,-,0,-,0,0,0,0,0,-310.29,120243578571860350,120243578571780350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-23-2025,1411.09,4.82,24,58.80,18,78.39,6,235.18,2,705.55,4,352.77,0,0,0,0,-1411.09,120237896182700350,120237896182690350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 1-11-2026,53.22,7.60,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-53.22,120242670974250350,120242670974220350,1400488071021805
3BR Customer Relief - Offer Lead 8 - CID1BKK728 | CB7_MovingA2Bedroom | 02-23-2026,2.13,1.07,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-2.13,120244295519780350,120244295519740350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 10-23-2025,622.02,7.97,5,124.40,5,124.40,2,311.01,-,0,1,622.02,0,0,0,0,-622.02,120237896182700350,120237896182690350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK17_LongDistanceMoves | CB8_BeforeYouBook | 2-2-2026,900.15,2.28,20,45.01,17,52.95,9,100.02,1,900.15,2,450.08,0,0,0,0,-900.15,120243434016590350,120235716942630350,1400488071021805
Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 1-11-2026,5.15,2.58,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-5.15,120242670974250350,120242670974220350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK17_LongDistanceMoves | CB8_BeforeYouBook | 2-2-2026,28.48,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-28.48,120243434016590350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 5 - CIDC9YQMC0 | CB7_MovingA2Bedroom | 02-23-2026,83.05,5.19,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-83.05,120244295994450350,120244295994470350,1400488071021805
3BR Customer Relief - Offer Lead 3 - CIDOQ2J5NF | CB7_MovingA2Bedroom | 02-23-2026,10.62,2.12,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-10.62,120244295519780350,120244295519740350,1400488071021805
SC85_WantedToSeeOptions | SV13_GmailDark | CB1_Savings | 2-2-2026,73.99,1.42,4,18.50,2,37,1,73.99,-,0,-,0,0,0,0,0,-73.99,120243499540120350,120235716942630350,1400488071021805
Moving Cost Clarity - Offer Lead 3 - CIDUUA2886 | CB7_MovingA2Bedroom | 02-25-2026,287.04,3.63,4,71.76,4,71.76,4,71.76,1,287.04,1,287.04,0,0,0,0,-287.04,120244564976090350,120235716942630350,1400488071021805
SC85_WantedToSeeOptions | SV9_GmailLight | CB1_Savings | 2-2-2026,131.94,3.47,2,65.97,1,131.94,1,131.94,-,0,-,0,0,0,0,0,-131.94,120243499540120350,120235716942630350,1400488071021805
SC83_HowMoversSneakExtraFees | SV13_GmailDark | CB1_Savings | 2-2-2026,91.35,2.69,1,91.35,1,91.35,0,0,-,0,-,0,0,0,0,0,-91.35,120243499540120350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 10 - CID4C22FWG | CB7_MovingA2Bedroom | 02-23-2026,1.04,1.04,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-1.04,120244295526920350,120244295527190350,1400488071021805
No Ghosting - Offer Lead 2 - CID69Y9ZCL | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,219.40,1.14,2,109.70,2,109.70,2,109.70,2,109.70,-,0,0,0,0,0,-219.40,120244563569310350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE | 02-26-2026,3.85,0.26,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-3.85,120244621374680350,120244621144460350,1400488071021805
Quiet Overwhelm - Offer Lead 4 - CIDO82ZBNH | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,539.47,3.94,2,269.74,0,0,0,0,-,0,-,0,0,0,0,0,-539.47,120244564245240350,120235716942630350,1400488071021805
Hook5 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 10-16-2025,16.03,0.53,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-16.03,120237459188090350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 7 - CIDA7W1DSK | CB7_MovingA2Bedroom | 02-23-2026,81.27,1.63,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-81.27,120244292141040350,120235716942630350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 03-02-2026,624.96,4.88,2,312.48,2,312.48,0,0,-,0,-,0,0,0,0,0,-624.96,120244709231600350,120244709231650350,1400488071021805
3-Step Process - Problem-Solution Lead 2 - CIDOWZNGVK | CB7_MovingA2Bedroom | 03-03-2026,22.65,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-22.65,120244824240280350,120235716942630350,1400488071021805
3-Step Process - Promise Lead - CID4GQYWX3 | CB7_MovingA2Bedroom | 03-03-2026,21.50,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-21.50,120244824240280350,120235716942630350,1400488071021805
SC88_CityPricesV4 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026 - Copy,154.98,1.29,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-154.98,120244295268190350,120244295268220350,1400488071021805
Stress-Free Exists - Promise Lead 2 - CIDX08GR8H | CB7_MovingA2Bedroom | 03-03-2026,6.01,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-6.01,120244824684000350,120235716942630350,1400488071021805
3-Step Process - Proclamation Lead 2 - CID77KX4V6 | CB7_MovingA2Bedroom | 03-03-2026,12.75,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-12.75,120244824240280350,120235716942630350,1400488071021805
3-Step Process - Problem-Solution Lead 1 - CID4AIGZTJ | CB7_MovingA2Bedroom | 03-03-2026,14.77,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-14.77,120244824240280350,120235716942630350,1400488071021805
Related | Top Ads + Copy | 1-18-2026 | 1-18-2026,1441.06,2.30,48,30.02,33,43.67,13,110.85,2,720.53,5,288.21,0,0,0,0,-1441.06,120242931820800350,120242931820810350,1400488071021805
3BR Customer Relief - Offer Lead 1 - CIDWQV6338 | CB7_MovingA2Bedroom | 02-23-2026,56.79,2.10,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-56.79,120244292141040350,120235716942630350,1400488071021805
Similar Customer Proof - Offer Lead 7 - CIDWODX622 | CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE | 02-26-2026,45.92,2.55,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-45.92,120244621374680350,120244621144460350,1400488071021805
3BR Customer Relief - Offer Lead 6 - CIDJPMAQAP | CB7_MovingA2Bedroom | 02-23-2026,53.63,1.28,1,53.63,1,53.63,0,0,-,0,-,0,0,0,0,0,-53.63,120244295519780350,120244295519740350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CB7_MovingA2Bedroom | 02-23-2026,53.63,0.48,1,53.63,1,53.63,0,0,-,0,-,0,0,0,0,0,-53.63,120244296367920350,120244296367860350,1400488071021805
No Ghosting - Offer Lead 5 - CIDSIF28US | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,48.38,5.38,1,48.38,1,48.38,4,12.10,-,0,-,0,0,0,0,0,-48.38,120244563569310350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 5 - CIDVLEWHZW | CB7_MovingA2Bedroom | 02-23-2026,2.69,2.69,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-2.69,120244295565840350,120244295527190350,1400488071021805
3BR Customer Relief - Offer Lead 4 - CIDYRPATLC | CB7_MovingA2Bedroom | 02-23-2026,9.90,2.48,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-9.90,120244295519780350,120244295519740350,1400488071021805
3BR Customer Relief - Offer Lead 5 - CIDC9YQMC0 | CB7_MovingA2Bedroom | 02-23-2026,20.33,3.39,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-20.33,120244295519780350,120244295519740350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK13_SmarterMoving | CB7_MovingA2Bedroom | 2-2-2026,139.03,8.69,4,34.76,4,34.76,5,27.81,-,0,1,139.03,0,0,0,0,-139.03,120243433638280350,120235716942630350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025,892.14,4.96,20,44.61,17,52.48,2,446.07,1,892.14,2,446.07,0,0,0,0,-892.14,120237329231720350,120235716942630350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-23-2025,558.03,6.27,1,558.03,1,558.03,0,0,-,0,-,0,0,0,0,0,-558.03,120237896182700350,120237896182690350,1400488071021805
SC88_CityPricesV4 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 02-18-2026,104.55,9.50,1,104.55,0,0,6,17.43,-,0,-,0,0,0,0,0,-104.55,120244165896270350,120244165896280350,1400488071021805
No Ghosting - Offer Lead 3 - CIDZG9UND1 | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,641.01,0.35,7,91.57,7,91.57,7,91.57,7,91.57,1,641.01,0,0,0,0,-641.01,120244563569310350,120235716942630350,1400488071021805
SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 1-11-2026,2938.84,2.91,78,37.68,59,49.81,10,293.88,1,2938.84,5,587.77,0,0,0,0,-2938.84,120242670974250350,120242670974220350,1400488071021805
Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026,21.41,5.35,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-21.41,120244296367890350,120244296367860350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-18-2026,35.43,7.09,2,17.72,1,35.43,0,0,-,0,-,0,0,0,0,0,-35.43,120244165896270350,120244165896280350,1400488071021805
Done For You - Problem-Solution Lead 6 - CIDBTPT5T7 | CB7_MovingA2Bedroom | 02-23-2026,139.88,0.77,3,46.63,1,139.88,1,139.88,-,0,-,0,0,0,0,0,-139.88,120244296367920350,120244296367860350,1400488071021805
Done For You - Problem-Solution Lead 6 - CIDBTPT5T7 | CB7_MovingA2Bedroom | 02-23-2026,37.34,7.47,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-37.34,120244295519780350,120244295519740350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CB7_MovingA2Bedroom | 02-23-2026,7.45,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-7.45,120244295519780350,120244295519740350,1400488071021805
Done For You - Problem-Solution Lead 9 - CIDE5XBSEZ | CB7_MovingA2Bedroom | 02-23-2026,17.97,8.99,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-17.97,120244295519780350,120244295519740350,1400488071021805
3BR Customer Relief - Offer Lead 6 - CIDJPMAQAP | CB7_MovingA2Bedroom | 02-23-2026,45.26,5.66,2,22.63,2,22.63,1,45.26,1,45.26,-,0,0,0,0,0,-45.26,120244295994260350,120244295994470350,1400488071021805
VHK22_IThoughtCostMore | VB6_MovingOffBecauseCost | VV8_UGC_CostAngle2_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026,183.40,0.43,4,45.85,4,45.85,4,45.85,2,91.70,-,0,0,0,0,0,-183.40,120243092394970350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 1 - CIDWQV6338 | CB7_MovingA2Bedroom | 02-23-2026,250.86,2.44,4,62.72,4,62.72,9,27.87,2,125.43,1,250.86,0,0,0,0,-250.86,120244295519780350,120244295519740350,1400488071021805
