"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 11-10-2025",522.9,7977,322,331,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV4_AppleNoteButtonCTA | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",522.72,10475,122,92,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK1_SaveUpTo50 | CB1_Savings | 09-30-2025",520.31,10713,168,104,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",517.79,12039,239,175,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-30-2025",517.78,13665,293,133,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-30-2025",515.79,12196,243,189,2025-09-15,2026-03-03
"VHK12_ProtectedTruck | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025",515.4,6544,122,90,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-8-2026",514.18,10300,238,68,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV4_AppleNoteButtonCTA | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",512.92,8268,143,72,2025-09-15,2026-03-03
"SC15_MovingCallPricing | SV3_TruckBack | CHK5_CallNow | CB2_StressFree | 11-11-2025",509.42,5619,74,49,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-13-2025",507.61,15336,420,122,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK18_Moving | CB8_BeforeYouBook | 2-10-2026",507.2,5460,77,46,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK3_StressFreeLongDistance | CB2_StressFree | 1-11-2026",507.05,13539,201,114,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",505.03,7425,78,49,2025-09-15,2026-03-03
"VHK19_Iassumed | VB5_BiggestWorry | VV10_UGC_CostAngle1_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",504.11,6150,668,712,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-15-2026",499.53,15937,206,126,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",499.2,7435,85,64,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-5-2026",498.21,18946,408,290,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV4_AppleNoteButtonCTA | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",497.18,10805,155,103,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-28-2025",496.75,21985,322,194,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK1_SaveUpTo50 | CB3_CostSavings | 09-30-2025",496.51,14449,306,131,2025-09-15,2026-03-03
"SC14_AlmostOverpaid _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025",491.04,7196,165,94,2025-09-15,2026-03-03
"Done For You - Problem-Solution Lead 3 - CID5P9LMHL | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026",489.94,6313,93,57,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",485.28,16408,206,97,2025-09-15,2026-03-03
"VHK18_Moving-LetusHelp | VB1_NoBody | VV5_TruckAcrossUSSantaHat | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-11-2025",482.05,5228,386,384,2025-09-15,2026-03-03
"Related Media | SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-29-2026",479.51,15179,952,1027,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-06-2025",475.46,16245,328,185,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV4_AppleNoteButtonCTA | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",473.68,6178,99,90,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",471.94,14296,290,149,2025-09-15,2026-03-03
"SC70_CoastToCoast-V1 | SV29_StickyNote | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026",464.73,9953,128,84,2025-09-15,2026-03-03
"VHK13_TruckonTime | VB1_NoBody | VV4_SideTruckAnimationV2White | CHK3_StressFreeLongDistance | CB2_StressFree | 11-18-2025",463.5,3521,63,51,2025-09-15,2026-03-03
"Excited Transformation - Proclamation Lead 2 - CIDRNZ1UVN | CB7_MovingA2Bedroom | 02-25-2026",459.6,24077,397,354,2025-09-15,2026-03-03
"SC88_CityPricesV4 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026",457.2,7492,170,150,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK11_MovingLongDistance | CB6_MovingOutOfState | 2-2-2026",457.07,10541,299,250,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",455.61,9720,227,102,2025-09-15,2026-03-03
"SC47_CheckThisNYV1 | SV13_GmailDark | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",455.55,11813,120,65,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",455.49,9307,156,106,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025",453.62,8419,272,130,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025",446.44,10633,345,68,2025-09-15,2026-03-03
"SC48_CheckThisNYV2 | SV13_GmailDark | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",444.73,11260,149,106,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-28-2025",440.81,16083,324,167,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-15-2026",440.48,15281,372,220,2025-09-15,2026-03-03
"SC7_CheckThis | SV10_TwitterStyleDark | CHK2_StartingAt1597 | CB1_Savings | 12-14-2025",439.69,13456,141,94,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-30-2025",439.61,17232,295,153,2025-09-15,2026-03-03
"VHK23_IBudgetedMore | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",438.59,4034,390,417,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",432.75,12741,161,100,2025-09-15,2026-03-03
"Quiet Overwhelm - Offer Lead 5 - CIDKGUYFZR | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",430.94,39635,314,290,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025",426.09,16682,471,277,2025-09-15,2026-03-03
"VHK11_TruckInsured | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025",423.22,5890,234,209,2025-09-15,2026-03-03
"VHK13_TruckonTime | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025",422.97,4744,116,94,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 4 - CIDMYP1BC7 | CB7_MovingA2Bedroom | 02-25-2026",420.58,11102,122,95,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-30-2025",415.86,10560,168,125,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",414.81,9168,190,133,2025-09-15,2026-03-03
"Calm Confidence - Promise Lead 1 - CIDYWWUBC1 | CHK1_SaveUpTo50 | CB1_Savings | 02-26-2026",414.25,14644,153,146,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",413.67,12295,187,116,2025-09-15,2026-03-03
"SC18_SaveMoveToday | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 11-11-2025",409.47,5895,115,103,2025-09-15,2026-03-03
"SC16_CompanyvsVAM | SV12_UsvsThem | CHK3_StressFreeLongDistance | CB2_StressFree | 11-11-2025",408.69,5798,151,113,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV10_TwitterStyleDark | CHK2_StartingAt1597 | CB1_Savings | 10-26-2025",407.96,12618,190,109,2025-09-15,2026-03-03
"SC12_FinalCheck _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025",407.58,11304,192,136,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-8-2026",404.44,5608,128,48,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",404.23,9752,166,132,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 9 - CID4NPZBAG | CB7_MovingA2Bedroom | 02-26-2026",402.47,8859,96,72,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK10_WeHandle | CB6_MovingOutOfState | 2-2-2026",401.48,10835,225,180,2025-09-15,2026-03-03
"SC22_LongDistance1597HolidayV1CTA2 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025",400.75,5577,157,145,2025-09-15,2026-03-03
"SC14_AlmostOverpaid _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 11-16-2025",396.47,6747,208,194,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV31_AppleNoteLight | CB1_Savings | 02-23-2026",395.62,13922,185,161,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026",392.62,7398,191,98,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",389.64,14117,233,83,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-23-2026 - Copy",382.28,13367,160,144,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 10-06-2025",379.39,12653,271,190,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",371.8,9455,281,77,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB3_CostSavings | 02-11-2026",369.71,18728,350,318,2025-09-15,2026-03-03
"SC83_HowMoversSneakExtraFees | SV32_AppleNoteDark | CB1_Savings | 2-2-2026",368.51,8540,135,95,2025-09-15,2026-03-03
"SC21_LongDistance1597HolidayV1CTA1 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025",366.76,6052,136,112,2025-09-15,2026-03-03
"SC44_NoCopy | SV23_BeforeAndAfter | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",366.53,4948,141,61,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV5_AppleNoteLinkCTA | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",365.42,8506,103,69,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV4_AppleNoteButtonCTA | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",364.65,6390,119,66,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025",360.2,6837,294,267,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 01-29-2026",358.57,12199,564,377,2025-09-15,2026-03-03
"3BR Customer Relief - Offer Lead 10 - CID9STT0TQ | CB7_MovingA2Bedroom | 02-23-2026",357.61,9772,191,158,2025-09-15,2026-03-03
"SC16_CompanyvsVAM | SV12_UsvsThem | CHK5_CallNow | CB2_StressFree | 11-11-2025",354.65,4286,71,53,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK15_FullServiceMoves | CB8_BeforeYouBook | 2-10-2026",349.66,3187,47,30,2025-09-15,2026-03-03
"SC98_CarouselV3 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026",347.31,3959,125,107,2025-09-15,2026-03-03
"Quiet Overwhelm - Offer Lead 3 - CID6B6ZP1T | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",340.06,10982,161,144,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",339.93,11173,197,126,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 10-26-2025",339.12,8289,108,68,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV1_TruckSide | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",337.84,4732,47,33,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",335.68,4500,39,24,2025-09-15,2026-03-03
"SC43_MoveTimeline | SV22_TruckCalendar | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",335.49,2986,72,67,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 03-03-2026",332.02,13643,87,52,2025-09-15,2026-03-03
"VHK12_ProtectedTruck | VB1_NoBody | VV4_SideTruckAnimationV2White | CHK3_StressFreeLongDistance | CB2_StressFree | 11-18-2025",331.98,3524,63,47,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026",328.82,4858,76,52,2025-09-15,2026-03-03
"Excited Transformation - Proclamation Lead 4 - CID8D135P9 | CB7_MovingA2Bedroom | 02-25-2026",327.28,10297,269,232,2025-09-15,2026-03-03
"VHK21_NoOneTellsYou | VB6_MovingOffBecauseCost | VV11_UGC_CostAngle2_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",325.84,4654,506,534,2025-09-15,2026-03-03
"SC10_Saved2k | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-30-2025",324.62,9502,132,93,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 01-25-2026",323.39,8949,129,68,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",321.33,4638,61,39,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-8-2026",321.17,5878,125,44,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026",320.45,2446,110,107,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-28-2025",320.09,10818,237,109,2025-09-15,2026-03-03
"SC90_CityPricesV6 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026",319.15,6638,120,101,2025-09-15,2026-03-03
"SC13_SavedMe _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025",319.13,5861,142,111,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-15-2026",318.33,15058,184,91,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-4-2026",310.43,3311,45,34,2025-09-15,2026-03-03
"SC12_FinalCheck _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 10-14-2025",309.12,8023,155,90,2025-09-15,2026-03-03
"Similar Customer Proof - Offer Lead 6 - CIDCXT73QZ | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",307.97,10147,154,94,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV31_AppleNoteLight | CB1_Savings | 2-2-2026",307.28,9509,135,112,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",307.11,8695,129,89,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-15-2026",307.01,10811,217,74,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-06-2025",306.94,9573,406,285,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 09-30-2025",304.06,9504,161,69,2025-09-15,2026-03-03
"3BR Owner Stories - Offer Lead 3 - CIDOCC5C16 | CB7_MovingA2Bedroom | 02-23-2026",299.99,15062,253,221,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB3_CostSavings | 01-26-2026",299.69,7861,1525,1699,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV5_AppleNoteLinkCTA | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",297.23,4606,60,44,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV5_AppleNoteLinkCTA | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",294.27,5017,68,41,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 01-29-2026",293.39,10031,162,73,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 01-05-2026",289.99,38816,875,358,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 01-05-2026",289.59,37369,643,557,2025-09-15,2026-03-03
"VHK21_NoOneTellsYou | VB6_MovingOffBecauseCost | VV8_UGC_CostAngle2_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",289.46,2714,191,198,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 3 - CIDUUA2886 | CB7_MovingA2Bedroom | 02-25-2026",287.36,7110,106,79,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK19_MovingA34Bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026",282.09,9182,194,159,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",281.67,3274,45,28,2025-09-15,2026-03-03
"No Ghosting - Offer Lead 1 - CIDNBTUF8H | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",280.64,12269,287,247,2025-09-15,2026-03-03
"Threat / Hot Alarm - Proclamation Lead 1 - CIDAYH2KTY | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026",278.76,5378,103,92,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK14_Moving2Bedrooms | CB7_MovingA2Bedroom | 2-2-2026",277.49,6870,155,113,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",277.05,2110,95,86,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",276.82,5795,91,62,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",276.37,11054,182,63,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 6 - CIDWP4VPPI | CB7_MovingA2Bedroom | 02-26-2026",276.1,4849,74,44,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-18-2026",275.81,4420,107,61,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 02-04-2026",274.11,10711,1349,1489,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV9_GmailLight | CB1_Savings | 2-2-2026",274.06,6588,77,47,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-8-2026",272.63,3605,213,167,2025-09-15,2026-03-03
"VHK11_TruckInsured | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025",269.33,3262,88,76,2025-09-15,2026-03-03
"SC60_ChooseDateLaterV3 | SV22_TruckCalendar | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",268.26,2896,60,49,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 7 - CIDSP6IW8O | CB7_MovingA2Bedroom | 02-26-2026",268.17,7728,97,80,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-15-2026",267.1,4246,233,193,2025-09-15,2026-03-03
"VHK22_IThoughtCostMore | VB6_MovingOffBecauseCost | VV11_UGC_CostAngle2_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",266.45,3207,340,344,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 11-12-2025",262.75,2665,50,43,2025-09-15,2026-03-03
"VHK15_NeedHolidayMove | VB1_NoBody | VV5_TruckAcrossUSSantaHat | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-11-2025",261.02,2391,159,158,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK19_MovingA34Bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026",258.31,4262,151,110,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV2_TruckSide2 | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",255.98,2846,43,20,2025-09-15,2026-03-03
"Similar Customer Proof - Offer Lead 7 - CIDWODX622 | CHK19_MovingA34Bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026",254.16,12149,155,107,2025-09-15,2026-03-03
"SC55_LoadingBoxes | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",254.06,1919,42,28,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-15-2026",252.33,10593,108,80,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK16_KnowYourRealCosts | CB8_BeforeYouBook | 2-2-2026",252.26,5654,113,82,2025-09-15,2026-03-03
"3BR Customer Relief - Offer Lead 1 - CIDWQV6338 | CB7_MovingA2Bedroom | 02-23-2026",251.64,10185,155,114,2025-09-15,2026-03-03
"SC53_NewLocation | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",250.81,3171,62,38,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV13_GmailDark | CB1_Savings | 2-2-2026",249.91,8827,153,122,2025-09-15,2026-03-03
"Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026",244.9,3584,622,678,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV4_AppleNoteButtonCTA | CHK1_SaveUpTo50 | CB1_Savings | 09-15-2025",241.27,4178,48,37,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV4_AppleNoteButtonCTA | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",241.04,3811,50,26,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV1_TruckSide | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",239.31,2555,40,30,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025",237.55,3120,138,141,2025-09-15,2026-03-03
"VHK13_TruckonTime | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025",236.76,3456,90,77,2025-09-15,2026-03-03
"3BR Customer Relief - Offer Lead 9 - CIDRPFL60W | CB7_MovingA2Bedroom | 02-23-2026",236.63,9367,155,129,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV5_AppleNoteLinkCTA | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",236.4,4906,100,36,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 8 - CID6CV702P | CB7_MovingA2Bedroom | 02-26-2026",235.7,7046,58,42,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV5_AppleNoteLinkCTA | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",235.67,5387,57,35,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 11-16-2025",234.9,3134,108,106,2025-09-15,2026-03-03
"Done For You - Problem-Solution Lead 10 - CID0435EPI | CB7_MovingA2Bedroom | 02-23-2026",233.92,2681,324,348,2025-09-15,2026-03-03
"Similar Customer Proof - Offer Lead 1 - CIDWNTI0MF | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",233.87,8221,115,89,2025-09-15,2026-03-03
"Calm Confidence - Promise Lead 5 - CID7TW5YZH | CHK1_SaveUpTo50 | CB1_Savings | 02-26-2026",232.53,4768,103,83,2025-09-15,2026-03-03
"SC42_ChooseDateLater | SV22_TruckCalendar | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",232.03,2261,71,60,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-28-2025",231.05,5815,128,85,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK12_BuiltForLarger | CB7_MovingA2Bedroom | 2-2-2026",230.85,8081,170,126,2025-09-15,2026-03-03
