"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"Related Media | SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 01-29-2026",1278.92,33540,8030,9556,2025-09-15,2026-03-03
"SC15_MovingCallPricing | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 11-11-2025",1277.14,15525,293,200,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025",1265.3,17029,1119,1185,2025-09-15,2026-03-03
"VHK9_MovingLongDistance | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025",1264.3,15010,342,282,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 3 - CIDTPC5EN4 | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",1259.87,47524,481,366,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025",1248.88,54217,1343,566,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK2_StartingAt1597 | CB3_CostSavings | 11-10-2025",1230.97,19175,1426,1146,2025-09-15,2026-03-03
"SC57_WeHandleItAllV2 | SV23_BeforeAndAfter | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026",1223.62,8121,271,164,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-11-2026",1219.02,102949,1235,1088,2025-09-15,2026-03-03
"SC13_SavedMe _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-4-2026",1214.36,32088,485,221,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 12-4-2026",1213.16,20010,309,234,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK7_CrossCountry | CB5_LongDistanceMoves | 2-2-2026",1209.42,29922,684,519,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-06-2025",1201.12,60276,1724,456,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 12-14-2025",1181.89,12527,259,184,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-30-2025",1168.43,21497,523,301,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV10_TwitterStyleDark | CHK2_StartingAt1597 | CB1_Savings | 10-26-2025",1155.48,36605,368,222,2025-09-15,2026-03-03
"SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 12-14-2025",1145.84,23775,305,192,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 09-15-2025",1144.97,11336,217,155,2025-09-15,2026-03-03
"SC82_AlmostPaid3k | SV31_AppleNoteLight | CB1_Savings | 02-18-2026",1134.75,27997,379,274,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 11-10-2025",1124.11,5393,735,744,2025-09-15,2026-03-03
