Launch Date,Status,,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue
10/15/2025,,,SC13_SavedMe | SV8_Gmail,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/15/2025,,,SC14_AlmostOverpaid | SV8_Gmail,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/15/2025,,,SC11_FlyingFunny | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/15/2025,,,SC12_FinalCheck | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/15/2025,,,SC13_SavedMe | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/15/2025,,,SC14_AlmostOverpaid | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
10/26/2025,Testing,,SC7_CheckThis | SV10_TwitterStyleDark,$660.01,10,$66.00,6,$110.00,1,$660.01,0,#DIV/0!,1,$660.01,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$660.01,1.04%,0.68%,$34.20,"19,299",200,132,,,
10/26/2025,Testing,,SC8_Dodged4kBill | SV10_TwitterStyleDark,$407.96,6,$67.99,4,$101.99,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$407.96,1.51%,0.86%,$32.33,"12,618",190,109,,,
10/26/2025,On the fence,,SC9_AlmostPaidDouble | SV10_TwitterStyleDark,"$1,155.48",17,$67.97,16,$72.22,2,$577.74,1,"$1,155.48",1,"$1,155.48",0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,155.48",1.01%,0.61%,$31.57,"36,605",368,222,,,
10/26/2025,Winner,,SC7_CheckThis | SV11_TwitterStyleLight,"$20,962.36",381,$55.02,297,$70.58,176,$119.10,31,$676.21,50,$419.25,25,$838.49,"$36,629.26","$1,465.17",1.75,"$15,666.90",1.52%,1.11%,$34.51,"607,405","9,217","6,765",,,
10/26/2025,Loser,,SC8_Dodged4kBill | SV11_TwitterStyleLight,$339.12,2,$169.56,2,$169.56,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$339.12,1.30%,0.82%,$40.91,"8,289",108,68,,,
10/26/2025,Testing,,SC9_AlmostPaidDouble | SV11_TwitterStyleLight,$192.51,6,$32.09,3,$64.17,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$192.51,1.59%,1.13%,$40.33,"4,773",76,54,,,
11/11/2025,Loser,,SC15_MovingCallPricing | SV3_TruckBack,"$1,786.56",17,$105.09,15,$119.10,6,$297.76,3,$595.52,1,"$1,786.56",0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,786.56",1.74%,1.18%,$84.49,"21,144",367,249,,,
11/11/2025,Loser,,SC16_CompanyvsVAM | SV12_UsvsThem,$763.34,3,$254.45,2,$381.67,1,$763.34,0,#DIV/0!,1,$763.34,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$763.34,2.20%,1.65%,$75.70,"10,084",222,166,,,
11/11/2025,Loser,,SC17_LongSaveBook | SV3_TruckBack,"$1,802.77",20,$90.14,19,$94.88,4,$450.69,3,$600.92,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,802.77",1.60%,1.20%,$84.66,"21,294",341,255,,,
11/11/2025,Loser,,SC18_SaveMoveToday | SV3_TruckBack,"$1,870.60",25,$74.82,17,$110.04,4,$467.65,0,#DIV/0!,2,$935.30,0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,870.60",1.86%,1.59%,$76.39,"24,488",456,389,,,
,,,SC19_CheckThisHolidayV1 | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC19_CheckThisHolidayV1 | SV13_GmailDark,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC20_CheckThisHolidayV2 | SV9_GmailLight,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC20_CheckThisHolidayV2 | SV13_GmailDark,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC21_LongDistance1597HolidayV1CTA1 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC22_LongDistance1597HolidayV1CTA2 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC23_LongDistance1597HolidayV2CTA1 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC24_LongDistance1597HolidayV2CTA2 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
