Launch Date,Status,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
1/5/2025,Winner,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2026,Testing,CHK13_SmarterMoving | CB7_MovingA2Bedroom,"$1,298.61",27,$48.10,22,$59.03,10,$129.86,0,#DIV/0!,1,"$1,298.61",1,"$1,298.61","$1,573.91","$1,573.91",1.21,$275.30,10.62%,11.10%,$38.63,"33,617","3,569","3,730",,,,,,,,,,,,,,,,,,,,,
2/2/2026,Testing,CHK14_Moving2Bedrooms | CB7_MovingA2Bedroom,$318.06,7,$45.44,7,$45.44,3,$106.02,0,#DIV/0!,1,$318.06,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$318.06,2.17%,1.56%,$42.89,"7,415",161,116,,,,,,,,,,,,,,,,,,,,,
2/2/2026,On the fence,CHK15_FullServiceMoves | CB8_BeforeYouBook,"$2,504.65",47,$53.29,40,$62.62,34,$73.67,2,"$1,252.33",6,$417.44,2,"$1,252.33","$3,211.28","$1,605.64",1.28,$706.63,1.34%,0.81%,$38.22,"65,532",875,534,,,,,,,,,,,,,,,,,,,,,
2/2/2026,Testing,CHK16_KnowYourRealCosts | CB8_BeforeYouBook,$449.43,7,$64.20,7,$64.20,2,$224.72,0,#DIV/0!,1,$449.43,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$449.43,1.66%,1.14%,$39.36,"11,418",189,130,,,,,,,,,,,,,,,,,,,,,
2/2/2026,Testing,CHK17_LongDistanceMoves | CB8_BeforeYouBook,"$1,040.34",22,$47.29,19,$54.75,5,$208.07,1,"$1,040.34",2,$520.17,0,#DIV/0!,$0.00,#DIV/0!,0.00,"-$1,040.34",1.93%,1.47%,$38.52,"27,011",521,398,,,,,,,,,,,,,,,,,,,,,
2/2/2026,On the fence,CHK18_Moving | CB8_BeforeYouBook,"$1,951.65",33,$59.14,30,$65.06,25,$78.07,4,$487.91,5,$390.33,1,"$1,951.65","$2,429.17","$2,429.17",1.24,$477.52,1.61%,1.12%,$40.21,"48,533",779,544,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK19_MovingA34Bedroom | CB9_3BR-POSITIONINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK21_PlanningAcross-country | CB9_3BR-POSITIONINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
