Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
Monday,"February 9, 2026","$5,883.30","183,734",$32.02,"129,007","4,355",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,58,$101.44,61,$96.45,25,$235.33,17,$346.08,68.00%,6,$980.55,10.34%,24.00%,35.29%,"$7,322.75",1.24,8,$735.41,"$13,214.43",2.25,
Tuesday,"February 10, 2026","$6,178.24","160,304",$38.54,"116,137","3,779",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,64,$96.54,77,$80.24,24,$257.43,12,$514.85,50.00%,10,$617.82,15.63%,41.67%,83.33%,"$17,371.19",2.81,7,$882.61,"$10,415.91",1.69,
Wednesday,"February 11, 2026","$6,160.44","172,645",$35.68,"121,137","3,636",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,75,$82.14,84,$73.34,22,$280.02,13,$473.88,59.09%,9,$684.49,12.00%,40.91%,69.23%,"$11,315.78",1.84,8,$770.06,"$10,199.00",1.66,
Thursday,"February 12, 2026","$5,594.54","170,627",$32.79,"121,594","3,455",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,54,$103.60,65,$86.07,39,$143.45,21,$266.41,53.85%,9,$621.62,16.67%,23.08%,42.86%,"$10,918.34",1.95,4,"$1,398.64","$6,380.70",1.14,
Friday,"February 13, 2026","$4,695.16","148,389",$31.64,"106,399","2,737",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,45,$104.34,48,$97.82,24,$195.63,11,$426.83,45.83%,5,$939.03,11.11%,20.83%,45.45%,"$6,611.51",1.41,3,"$1,565.05","$4,450.51",0.95,
Saturday,"February 14, 2026","$5,023.42","161,789",$31.05,"108,415","3,032",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,71,$70.75,78,$64.40,19,$264.39,3,"$1,674.47",15.79%,2,"$2,511.71",2.82%,10.53%,66.67%,"$4,135.56",0.82,4,"$1,255.86","$5,959.38",1.19,
Sunday,"February 15, 2026","$8,263.50","286,084",$28.88,"195,763","4,754",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,86,$96.09,99,$83.47,31,$266.56,22,$375.61,70.97%,2,"$4,131.75",2.33%,6.45%,9.09%,"$4,804.00",0.58,2,"$4,131.75","$3,284.92",0.40,
Monday,"February 16, 2026","$7,215.72","226,905",$31.80,"159,301","3,704",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,76,$94.94,87,$82.94,30,$240.52,18,$400.87,60.00%,8,$901.97,10.53%,26.67%,44.44%,"$16,466.81",2.28,2,"$3,607.86","$4,281.48",0.59,
Tuesday,"February 17, 2026","$6,275.57","210,857",$29.76,"133,629","3,527",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,54,$116.21,72,$87.16,26,$241.37,12,$522.96,46.15%,8,$784.45,14.81%,30.77%,66.67%,"$13,717.30",2.19,5,"$1,255.11","$11,943.35",1.90,
Wednesday,"February 18, 2026","$7,138.95","239,932",$29.75,"158,897","3,802",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,66,$108.17,81,$88.14,36,$198.30,21,$339.95,58.33%,9,$793.22,13.64%,25.00%,42.86%,"$15,370.29",2.15,5,"$1,427.79","$12,033.50",1.69,
