Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
Saturday,"March 28, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"March 29, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Monday,"March 30, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"March 31, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"April 1, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"April 2, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"April 3, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Saturday,"April 4, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"April 5, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Monday,"April 6, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"April 7, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"April 8, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Thursday,"April 9, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Friday,"April 10, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Saturday,"April 11, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Sunday,"April 12, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Monday,"April 13, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Tuesday,"April 14, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
Wednesday,"April 15, 2026",,,#DIV/0!,,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,
